year_month,anomaly_c,lower_ci,upper_ci
1881-08,-0.13180213,-0.3398039,0.07619964
1881-09,-0.28668466,-0.4630996,-0.11026975
1881-10,-0.21702819,-0.37531123,-0.05874513
1881-11,-0.36992458,-0.5657708,-0.17407835
1881-12,-0.23740786,-0.45624378,-0.018571941
1882-01,-0.01183915,-0.1921222,0.1684439
1882-02,-0.09814544,-0.2778889,0.08159802
1882-03,-0.14596203,-0.33782765,0.04590359
1882-04,-0.289168,-0.46445704,-0.113878995
1882-05,-0.28977147,-0.46893203,-0.11061087
1882-06,-0.35807094,-0.55257833,-0.16356355
1882-07,-0.30782253,-0.4923792,-0.12326585
1882-08,-0.22393064,-0.4338504,-0.0140108885
1882-09,-0.14529543,-0.3262661,0.03567526
1882-10,-0.3824074,-0.5436804,-0.22113436
1882-11,-0.38512057,-0.57677495,-0.19346614
1882-12,-0.62776095,-0.8556106,-0.3999113
1883-01,-0.44033122,-0.6077424,-0.27292007
1883-02,-0.44839785,-0.6325503,-0.26424536
1883-03,-0.2486792,-0.42329812,-0.07406032
1883-04,-0.41655695,-0.58414185,-0.24897206
1883-05,-0.3234544,-0.50408083,-0.14282797
1883-06,-0.1592449,-0.34918907,0.030699298
1883-07,-0.21554062,-0.37959227,-0.051488962
1883-08,-0.27767068,-0.4715151,-0.08382628
1883-09,-0.3012298,-0.46146345,-0.14099613
1883-10,-0.32315385,-0.47147992,-0.1748278
1883-11,-0.3733057,-0.56406796,-0.18254349
1883-12,-0.40312,-0.619362,-0.18687806
1884-01,-0.42596686,-0.618729,-0.23320472
1884-02,-0.31035388,-0.48794216,-0.13276562
1884-03,-0.49140382,-0.6823128,-0.30049488
1884-04,-0.4687395,-0.63311446,-0.30436462
1884-05,-0.546081,-0.70598066,-0.38618138
1884-06,-0.48808527,-0.66826063,-0.30790988
1884-07,-0.5557362,-0.7229526,-0.3885198
1884-08,-0.41976324,-0.6105192,-0.22900735
1884-09,-0.49775514,-0.6565317,-0.3389786
1884-10,-0.44827563,-0.59676796,-0.2997833
1884-11,-0.5692634,-0.76260144,-0.37592542
1884-12,-0.4719657,-0.6954859,-0.24844548
1885-01,-0.64483386,-0.8240416,-0.46562618
1885-02,-0.53865534,-0.7203819,-0.3569288
1885-03,-0.40757763,-0.5787905,-0.2363648
1885-04,-0.61834466,-0.76922655,-0.4674628
1885-05,-0.591991,-0.75846577,-0.42551628
1885-06,-0.6258631,-0.8109992,-0.44072694
1885-07,-0.40865657,-0.5793349,-0.23797825
1885-08,-0.3960784,-0.58348197,-0.20867486
1885-09,-0.34767368,-0.511476,-0.18387139
1885-10,-0.3461016,-0.49475604,-0.19744715
1885-11,-0.3677833,-0.53419995,-0.2013667
1885-12,-0.20402879,-0.41731226,0.009254707
1886-01,-0.4578638,-0.61078745,-0.3049402
1886-02,-0.4703034,-0.61957467,-0.3210321
1886-03,-0.46656862,-0.6149825,-0.31815475
1886-04,-0.34330103,-0.4889126,-0.19768946
1886-05,-0.27936617,-0.44799188,-0.11074048
1886-06,-0.4983292,-0.6746492,-0.3220092
1886-07,-0.2972087,-0.45411062,-0.14030676
1886-08,-0.44951415,-0.6448097,-0.25421855
1886-09,-0.38023543,-0.53579307,-0.22467785
1886-10,-0.39917353,-0.5479578,-0.2503893
1886-11,-0.47561848,-0.6467772,-0.30445975
1886-12,-0.38060185,-0.5919931,-0.16921061
1887-01,-0.73406196,-0.8922589,-0.57586503
1887-02,-0.6457775,-0.8026474,-0.48890755
1887-03,-0.43512297,-0.592084,-0.27816197
1887-04,-0.47299397,-0.6270681,-0.31891984
1887-05,-0.5124649,-0.690239,-0.33469075
1887-06,-0.5117098,-0.7029114,-0.3205083
1887-07,-0.37888822,-0.5469958,-0.2107806
1887-08,-0.43830377,-0.6348878,-0.24171972
1887-09,-0.37885422,-0.5458061,-0.21190232
1887-10,-0.43443972,-0.5870978,-0.28178158
1887-11,-0.42817745,-0.6020779,-0.25427702
1887-12,-0.48930418,-0.69500214,-0.28360623
1888-01,-0.6150694,-0.7817647,-0.44837406
1888-02,-0.58524644,-0.76327497,-0.40721783
1888-03,-0.59260166,-0.7750615,-0.41014186
1888-04,-0.34351316,-0.50366104,-0.18336529
1888-05,-0.39860126,-0.57777697,-0.21942557
1888-06,-0.31458974,-0.49570572,-0.13347377
1888-07,-0.33486822,-0.50489235,-0.1648441
1888-08,-0.30383828,-0.50046366,-0.1072129
1888-09,-0.3202068,-0.48984867,-0.15056494
1888-10,-0.15795669,-0.31786424,0.0019508607
1888-11,-0.25640315,-0.43510383,-0.07770245
1888-12,-0.24815148,-0.46398717,-0.03231579
1889-01,-0.2938654,-0.47559768,-0.11213316
1889-02,-0.005193013,-0.1906248,0.18023877
1889-03,-0.079265535,-0.27117714,0.11264608
1889-04,-0.08213419,-0.24701409,0.08274571
1889-05,-0.15753026,-0.3361724,0.021111868
1889-06,-0.21602155,-0.41185284,-0.020190274
1889-07,-0.2909722,-0.47444904,-0.107495345
1889-08,-0.31507355,-0.5153891,-0.114758
1889-09,-0.34933463,-0.52119833,-0.17747091
1889-10,-0.36077714,-0.525559,-0.19599526
1889-11,-0.50869274,-0.67645615,-0.3409293
1889-12,-0.34596378,-0.5517157,-0.14021185
1890-01,-0.5159252,-0.6706193,-0.36123115
1890-02,-0.44864374,-0.6266714,-0.27061614
1890-03,-0.6163973,-0.80126065,-0.431534
1890-04,-0.49194187,-0.67956173,-0.30432203
1890-05,-0.5294894,-0.71277654,-0.34620225
1890-06,-0.4847464,-0.6794508,-0.29004195
1890-07,-0.4857722,-0.6636984,-0.30784607
1890-08,-0.46876624,-0.6750747,-0.2624578
1890-09,-0.47662684,-0.64878947,-0.3044642
1890-10,-0.436706,-0.59910476,-0.27430725
1890-11,-0.667224,-0.8349392,-0.4995088
1890-12,-0.38076168,-0.5766092,-0.18491416
1891-01,-0.5744326,-0.7654135,-0.38345167
1891-02,-0.592817,-0.7974891,-0.3881449
1891-03,-0.35578015,-0.54717886,-0.16438144
1891-04,-0.43793827,-0.63475925,-0.2411173
1891-05,-0.3342067,-0.5295604,-0.13885301
1891-06,-0.3654178,-0.56128556,-0.16955005
1891-07,-0.40023366,-0.58822185,-0.21224548
1891-08,-0.3607474,-0.57779664,-0.14369817
1891-09,-0.26140827,-0.4555922,-0.06722437
1891-10,-0.334176,-0.49854186,-0.16981013
1891-11,-0.5299838,-0.7071648,-0.35280275
1891-12,-0.22325908,-0.43609077,-0.01042739
1892-01,-0.4716348,-0.6644544,-0.2788152
1892-02,-0.2880402,-0.480648,-0.0954324
1892-03,-0.5216312,-0.71269304,-0.33056927
1892-04,-0.5370678,-0.74293554,-0.33119997
1892-05,-0.4519514,-0.6478512,-0.2560516
1892-06,-0.43156624,-0.62632287,-0.23680961
1892-07,-0.58998394,-0.79426384,-0.3857041
1892-08,-0.5112062,-0.7245796,-0.2978328
1892-09,-0.38721508,-0.5672582,-0.20717199
1892-10,-0.43694773,-0.61939853,-0.2544969
1892-11,-0.6623413,-0.8450302,-0.47965243
1892-12,-0.78923017,-1.0006195,-0.5778408
1893-01,-1.039964,-1.2186046,-0.86132336
1893-02,-0.8460627,-1.0265833,-0.6655421
1893-03,-0.4214959,-0.61221623,-0.23077558
1893-04,-0.50831175,-0.6943277,-0.32229576
1893-05,-0.57025254,-0.76339185,-0.37711322
1893-06,-0.45261618,-0.65292495,-0.25230742
1893-07,-0.2528014,-0.441424,-0.06417876
1893-08,-0.29511073,-0.51105654,-0.079164885
1893-09,-0.36910433,-0.5531799,-0.18502872
1893-10,-0.3051906,-0.47994307,-0.13043815
1893-11,-0.40178445,-0.57803625,-0.22553267
1893-12,-0.47665915,-0.6962661,-0.2570522
1894-01,-0.6304952,-0.80982786,-0.45116255
1894-02,-0.41898477,-0.6162451,-0.22172444
1894-03,-0.49809912,-0.702418,-0.2937802
1894-04,-0.5233221,-0.7198613,-0.32678288
1894-05,-0.51352173,-0.71939856,-0.3076449
1894-06,-0.5799579,-0.7891173,-0.3707986
1894-07,-0.39804062,-0.59958905,-0.19649218
1894-08,-0.35465294,-0.5696251,-0.13968079
1894-09,-0.43967047,-0.6299831,-0.24935783
1894-10,-0.39872596,-0.582652,-0.21479996
1894-11,-0.4509967,-0.6367912,-0.2652021
1894-12,-0.5384868,-0.7516112,-0.32536232
1895-01,-0.6363193,-0.8125712,-0.4600674
